NAPS_Site_ID,Station_Name,Pollutant,Date,Value,Units,Report_Type,Method
30113,JOHNSTON BUILDING,Bismuth,2020-02-06T00:00,0.005,ng/m³,PM2.5,ICPMS
30113,JOHNSTON BUILDING,Bismuth,2020-02-09T00:00,0.008,ng/m³,PM2.5,ICPMS
30113,JOHNSTON BUILDING,Bismuth,2020-02-12T00:00,0.025,ng/m³,PM2.5,ICPMS
30113,JOHNSTON BUILDING,Bismuth,2020-02-15T00:00,0.009,ng/m³,PM2.5,ICPMS
30113,JOHNSTON BUILDING,Bismuth,2020-02-18T00:00,0.006,ng/m³,PM2.5,ICPMS
30113,JOHNSTON BUILDING,Bismuth,2020-02-21T00:00,0.038,ng/m³,PM2.5,ICPMS
30113,JOHNSTON BUILDING,Bismuth,2020-02-24T00:00,0.053,ng/m³,PM2.5,ICPMS
30113,JOHNSTON BUILDING,Bismuth,2020-02-27T00:00,0.020,ng/m³,PM2.5,ICPMS
30113,JOHNSTON BUILDING,Bismuth,2020-03-01T00:00,0.012,ng/m³,PM2.5,ICPMS
30113,JOHNSTON BUILDING,Bismuth,2020-03-04T00:00,0.005,ng/m³,PM2.5,ICPMS
30113,JOHNSTON BUILDING,Bismuth,2020-03-07T00:00,0.004,ng/m³,PM2.5,ICPMS
30113,JOHNSTON BUILDING,Bismuth,2020-03-10T00:00,0.009,ng/m³,PM2.5,ICPMS
30113,JOHNSTON BUILDING,Bismuth,2020-03-13T00:00,0.006,ng/m³,PM2.5,ICPMS
30113,JOHNSTON BUILDING,Bismuth,2020-03-16T00:00,0.009,ng/m³,PM2.5,ICPMS
30113,JOHNSTON BUILDING,Bismuth,2020-03-19T00:00,0.016,ng/m³,PM2.5,ICPMS
30113,JOHNSTON BUILDING,Bismuth,2020-03-22T00:00,0.010,ng/m³,PM2.5,ICPMS
30113,JOHNSTON BUILDING,Bismuth,2020-03-25T00:00,0.013,ng/m³,PM2.5,ICPMS
30113,JOHNSTON BUILDING,Bismuth,2020-03-28T00:00,0.010,ng/m³,PM2.5,ICPMS
30113,JOHNSTON BUILDING,Bismuth,2020-03-31T00:00,0.002,ng/m³,PM2.5,ICPMS
30113,JOHNSTON BUILDING,Bismuth,2020-04-03T00:00,0.002,ng/m³,PM2.5,ICPMS
30113,JOHNSTON BUILDING,Bismuth,2020-04-06T00:00,0.006,ng/m³,PM2.5,ICPMS
30113,JOHNSTON BUILDING,Bismuth,2020-04-09T00:00,0.010,ng/m³,PM2.5,ICPMS
30113,JOHNSTON BUILDING,Bismuth,2020-04-12T00:00,0.011,ng/m³,PM2.5,ICPMS
30113,JOHNSTON BUILDING,Bismuth,2020-04-15T00:00,0.014,ng/m³,PM2.5,ICPMS
30113,JOHNSTON BUILDING,Bismuth,2020-04-18T00:00,0.007,ng/m³,PM2.5,ICPMS
30113,JOHNSTON BUILDING,Bismuth,2020-04-21T00:00,0.008,ng/m³,PM2.5,ICPMS
30113,JOHNSTON BUILDING,Bismuth,2020-04-27T00:00,0.003,ng/m³,PM2.5,ICPMS
30113,JOHNSTON BUILDING,Bismuth,2020-04-30T00:00,0.007,ng/m³,PM2.5,ICPMS
30113,JOHNSTON BUILDING,Bismuth,2020-05-03T00:00,0.007,ng/m³,PM2.5,ICPMS
30113,JOHNSTON BUILDING,Bismuth,2020-05-06T00:00,0.009,ng/m³,PM2.5,ICPMS
30113,JOHNSTON BUILDING,Bismuth,2020-05-09T00:00,0.005,ng/m³,PM2.5,ICPMS
30113,JOHNSTON BUILDING,Bismuth,2020-05-12T00:00,0.008,ng/m³,PM2.5,ICPMS
30113,JOHNSTON BUILDING,Bismuth,2020-05-15T00:00,0.021,ng/m³,PM2.5,ICPMS
30113,JOHNSTON BUILDING,Bismuth,2020-05-18T00:00,0.014,ng/m³,PM2.5,ICPMS
30113,JOHNSTON BUILDING,Bismuth,2020-05-21T00:00,0.007,ng/m³,PM2.5,ICPMS
30113,JOHNSTON BUILDING,Bismuth,2020-05-24T00:00,0.005,ng/m³,PM2.5,ICPMS
30113,JOHNSTON BUILDING,Bismuth,2020-05-27T00:00,0.007,ng/m³,PM2.5,ICPMS
30113,JOHNSTON BUILDING,Bismuth,2020-05-30T00:00,0.002,ng/m³,PM2.5,ICPMS
30113,JOHNSTON BUILDING,Bismuth,2020-06-02T00:00,0.015,ng/m³,PM2.5,ICPMS
30113,JOHNSTON BUILDING,Bismuth,2020-06-05T00:00,0.023,ng/m³,PM2.5,ICPMS
30113,JOHNSTON BUILDING,Bismuth,2020-06-08T00:00,0.013,ng/m³,PM2.5,ICPMS
30113,JOHNSTON BUILDING,Bismuth,2020-06-11T00:00,0.004,ng/m³,PM2.5,ICPMS
30113,JOHNSTON BUILDING,Bismuth,2020-06-14T00:00,0.015,ng/m³,PM2.5,ICPMS
30113,JOHNSTON BUILDING,Bismuth,2020-06-17T00:00,0.009,ng/m³,PM2.5,ICPMS
30113,JOHNSTON BUILDING,Bismuth,2020-06-20T00:00,0.026,ng/m³,PM2.5,ICPMS
30113,JOHNSTON BUILDING,Bismuth,2020-06-23T00:00,0.006,ng/m³,PM2.5,ICPMS
30113,JOHNSTON BUILDING,Bismuth,2020-06-26T00:00,0.039,ng/m³,PM2.5,ICPMS
30113,JOHNSTON BUILDING,Bismuth,2020-06-29T00:00,0.014,ng/m³,PM2.5,ICPMS
30113,JOHNSTON BUILDING,Bismuth,2020-08-19T00:00,0.012,ng/m³,PM2.5,ICPMS
30113,JOHNSTON BUILDING,Bismuth,2020-08-22T00:00,0.031,ng/m³,PM2.5,ICPMS
30113,JOHNSTON BUILDING,Bismuth,2020-08-25T00:00,0.010,ng/m³,PM2.5,ICPMS
30113,JOHNSTON BUILDING,Bismuth,2020-08-28T00:00,0.014,ng/m³,PM2.5,ICPMS
30113,JOHNSTON BUILDING,Bismuth,2020-08-31T00:00,0.053,ng/m³,PM2.5,ICPMS
30113,JOHNSTON BUILDING,Bismuth,2020-09-03T00:00,0.003,ng/m³,PM2.5,ICPMS
30113,JOHNSTON BUILDING,Bismuth,2020-09-09T00:00,0.036,ng/m³,PM2.5,ICPMS
30113,JOHNSTON BUILDING,Bismuth,2020-09-12T00:00,0.026,ng/m³,PM2.5,ICPMS
30113,JOHNSTON BUILDING,Bismuth,2020-09-15T00:00,0.053,ng/m³,PM2.5,ICPMS
30113,JOHNSTON BUILDING,Bismuth,2020-09-24T00:00,0.016,ng/m³,PM2.5,ICPMS
30113,JOHNSTON BUILDING,Bismuth,2020-09-27T00:00,0.013,ng/m³,PM2.5,ICPMS
30113,JOHNSTON BUILDING,Bismuth,2020-09-30T00:00,0.004,ng/m³,PM2.5,ICPMS
30113,JOHNSTON BUILDING,Bismuth,2020-10-03T00:00,0.027,ng/m³,PM2.5,ICPMS
30113,JOHNSTON BUILDING,Bismuth,2020-10-06T00:00,0.102,ng/m³,PM2.5,ICPMS
30113,JOHNSTON BUILDING,Bismuth,2020-10-09T00:00,0.004,ng/m³,PM2.5,ICPMS
30113,JOHNSTON BUILDING,Bismuth,2020-10-12T00:00,0.005,ng/m³,PM2.5,ICPMS
30113,JOHNSTON BUILDING,Bismuth,2020-10-15T00:00,0.018,ng/m³,PM2.5,ICPMS
30113,JOHNSTON BUILDING,Bismuth,2020-10-18T00:00,0.011,ng/m³,PM2.5,ICPMS
30113,JOHNSTON BUILDING,Bismuth,2020-10-21T00:00,0.008,ng/m³,PM2.5,ICPMS
30113,JOHNSTON BUILDING,Bismuth,2020-10-24T00:00,0.006,ng/m³,PM2.5,ICPMS
30113,JOHNSTON BUILDING,Bismuth,2020-10-27T00:00,0.059,ng/m³,PM2.5,ICPMS
30113,JOHNSTON BUILDING,Bismuth,2020-10-30T00:00,0.003,ng/m³,PM2.5,ICPMS
30113,JOHNSTON BUILDING,Bismuth,2020-11-02T00:00,0.002,ng/m³,PM2.5,ICPMS
30113,JOHNSTON BUILDING,Bismuth,2020-11-05T00:00,0.010,ng/m³,PM2.5,ICPMS
30113,JOHNSTON BUILDING,Bismuth,2020-11-08T00:00,0.003,ng/m³,PM2.5,ICPMS
30113,JOHNSTON BUILDING,Bismuth,2020-11-11T00:00,0.012,ng/m³,PM2.5,ICPMS
